,imb,reconstructed_imb,reconstructed_error
8749,0.49906752104055085,0.49881276,6.490069978899119e-08
8750,0.5007412012241774,0.49978897,9.067447705628375e-07
8751,0.498493687834736,0.49847972,1.9499062545375497e-10
8752,0.4988284238714613,0.49866888,2.5454479678804903e-08
8753,0.49866105585309867,0.4985731,7.73718092086536e-09
8754,0.49827850038255544,0.49836138,6.868850005945421e-09
8755,0.49846977811782706,0.49846503,2.25314685275535e-11
8756,0.4979198546289212,0.49816155,5.8418748666814665e-08
8757,0.4986371461361897,0.4985653,5.163821982183717e-09
8758,0.4972264728385616,0.4977476,2.7157360029209224e-07
8759,0.49806331293037487,0.49822593,2.6443450414897065e-08
8760,0.4985893267023718,0.4985273,3.848746384037233e-09
8761,0.4985415072685539,0.49851313,8.051369248136231e-10
8762,0.4980394032134659,0.49820286,2.671823724180891e-08
8763,0.498015493496557,0.49819434,3.1984959798247484e-08
8764,0.4986132364192808,0.49854204,5.0688466094004516e-09
8765,0.4982306809487375,0.4983281,9.488467559759988e-09
8766,0.49878060443764344,0.49863783,2.0385896245471744e-08
8767,0.49897188217291505,0.4987385,5.446840758152983e-08
8768,0.4983024100994644,0.4983692,4.459170020588566e-09
8769,0.4984219586840092,0.49843213,1.0344796955885693e-10
8770,0.4983024100994644,0.4983692,4.459170020588566e-09
8771,0.498493687834736,0.49847972,1.9499062545375497e-10
8772,0.49846977811782706,0.49846503,2.25314685275535e-11
8773,0.49736993114001526,0.49783474,2.1604919993083824e-07
8774,0.49911534047436873,0.49882972,8.157768184697428e-08
8775,0.4983980489671002,0.49842367,6.562201782546087e-10
8776,0.4990197016067329,0.49880162,4.7560104281898544e-08
8777,0.4974416602907421,0.49785337,1.6950366664527786e-07
8778,0.49799158377964803,0.49818462,3.726349741950426e-08
8779,0.4985415072685539,0.49851313,8.051369248136231e-10
8780,0.49777639632746745,0.49807388,8.849409850351565e-08
8781,0.4983980489671002,0.49842367,6.562201782546087e-10
8782,0.49808722264728383,0.49825665,2.870682987587861e-08
8783,0.49799158377964803,0.49818462,3.726349741950426e-08
8784,0.498517597551645,0.49848196,1.2700989122000458e-09
8785,0.49966526396327465,0.49915612,2.592301829060007e-07
8786,0.49796767406273906,0.49817562,4.324194232210827e-08
8787,0.4981589517980107,0.49827978,1.4599490513922889e-08
8788,0.4983980489671002,0.49842367,6.562201782546087e-10
8789,0.4987327850038255,0.498623,1.2049783842704034e-08
8790,0.49808722264728383,0.49825665,2.870682987587861e-08
8791,0.4980394032134659,0.49820286,2.671823724180891e-08
8792,0.4981111323641928,0.4982657,2.3895313107356867e-08
8793,0.4988284238714613,0.49866888,2.5454479678804903e-08
8794,0.4984219586840092,0.49843213,1.0344796955885693e-10
8795,0.49827850038255544,0.49836138,6.868850005945421e-09
8796,0.4972982019892884,0.4977832,2.3523650875197377e-07
8797,0.4969156465187452,0.49755788,4.12461910377102e-07
8798,0.4985415072685539,0.49851313,8.051369248136231e-10
8799,0.4983980489671002,0.49842367,6.562201782546087e-10
8800,0.4990197016067329,0.49880162,4.7560104281898544e-08
8801,0.49796767406273906,0.49817562,4.324194232210827e-08
8802,0.49897188217291505,0.4987385,5.446840758152983e-08
8803,0.4990436113236419,0.49880433,5.725515664475171e-08
8804,0.4983024100994644,0.4983692,4.459170020588566e-09
8805,0.4984219586840092,0.49843213,1.0344796955885693e-10
8806,0.4995218056618209,0.4990688,2.0521717867653055e-07
8807,0.4999282708492731,0.49930608,3.871180613333078e-07
8808,0.4983263198163733,0.4983777,2.6410106710108785e-09
8809,0.4977046671767406,0.49802035,9.965623401335865e-08
8810,0.4981589517980107,0.49827978,1.4599490513922889e-08
8811,0.4980394032134659,0.49820286,2.671823724180891e-08
8812,0.4979437643458301,0.4981671,4.9877728353467574e-08
8813,0.4978003060443764,0.49808168,7.917361724843794e-08
8814,0.4985893267023718,0.4985273,3.848746384037233e-09
8815,0.49806331293037487,0.49822593,2.6443450414897065e-08
8816,0.49856541698546286,0.49851942,2.1156652881252877e-09
8817,0.49837413925019125,0.4983982,5.79621439363368e-10
8818,0.4978959449120122,0.4981302,5.4876520732782657e-08
8819,0.4987088752869166,0.49860877,1.0021471637220853e-08
8820,0.498517597551645,0.49848196,1.2700989122000458e-09
8821,0.4985893267023718,0.4985273,3.848746384037233e-09
8822,0.4977285768936496,0.49803802,9.575733230466473e-08
8823,0.4983263198163733,0.4983777,2.6410106710108785e-09
8824,0.4983024100994644,0.4983692,4.459170020588566e-09
8825,0.4981589517980107,0.49827978,1.4599490513922889e-08
8826,0.49787203519510326,0.49810144,5.262796493987091e-08
8827,0.4993066182096404,0.49893335,1.393328297430418e-07
8828,0.4988284238714613,0.49866888,2.5454479678804903e-08
8829,0.5001673680183626,0.4994495,5.153466943895547e-07
8830,0.49748947972456004,0.49789366,1.6336271407955262e-07
8831,0.4982306809487375,0.4983281,9.488467559759988e-09
8832,0.5006933817903596,0.49974918,8.915101192222633e-07
8833,0.4973460214231063,0.4978257,2.3010301652040167e-07
8834,0.4985893267023718,0.4985273,3.848746384037233e-09
8835,0.49799158377964803,0.49818462,3.726349741950426e-08
8836,0.49799158377964803,0.49818462,3.726349741950426e-08
8837,0.49808722264728383,0.49825665,2.870682987587861e-08
8838,0.4983024100994644,0.4983692,4.459170020588566e-09
8839,0.49717865340474365,0.49772432,2.9775690578080554e-07
8840,0.5003586457536342,0.4995543,6.469620070370591e-07
8841,0.4987566947207345,0.49862584,1.712172347057091e-08
8842,0.49837413925019125,0.4983982,5.79621439363368e-10
8843,0.4983502295332823,0.49839026,1.602226795744802e-09
8844,0.5,0.49935424,4.170017433580142e-07
8845,0.4978481254781943,0.49809918,6.302740675975589e-08
8846,0.498517597551645,0.49848196,1.2700989122000458e-09
8847,0.5005977429227237,0.4996977,8.101038291712442e-07
8848,0.5135807192042846,0.5072288,4.034698284545901e-05
8849,0.5016736801836266,0.5003306,1.8037919492206522e-06
8850,0.503969013006886,0.5016536,5.361083397144605e-06
8851,0.5038494644223412,0.5015883,5.112932518720971e-06
8852,0.4976090283091048,0.49797818,1.3627344849697123e-07
8853,0.4991392501912777,0.49883246,9.411763331425803e-08
8854,0.49679609793420043,0.49749374,4.867098886910899e-07
8855,0.49768075745983165,0.4979971,1.0007584311424426e-07
8856,0.5006933817903596,0.49974918,8.915101192222633e-07
8857,0.49868496557000763,0.49857584,1.1909171368466516e-08
8858,0.5002630068859985,0.499504,5.76091531168369e-07
8859,0.49866105585309867,0.4985731,7.73718092086536e-09
8860,0.4990436113236419,0.49880433,5.725515664475171e-08
8861,0.4984219586840092,0.49843213,1.0344796955885693e-10
8862,0.49937834736036724,0.49899626,1.459924459102852e-07
8863,0.49988045141545523,0.49927446,3.6722261235022443e-07
8864,0.5000956388676358,0.49941,4.7009596199359434e-07
8865,0.49598316755929606,0.4970191,1.0731811124189906e-06
8866,0.4993066182096404,0.49893335,1.393328297430418e-07
8867,0.4991870696250956,0.49889725,8.399282585590724e-08
8868,0.4980394032134659,0.49820286,2.671823724180891e-08
8869,0.49887624330527924,0.4987086,2.8102344476228766e-08
8870,0.4979437643458301,0.4981671,4.9877728353467574e-08
8871,0.4978959449120122,0.4981302,5.4876520732782657e-08
8872,0.49629399387911244,0.49720582,8.314335491253493e-07
8873,0.49966526396327465,0.49915612,2.592301829060007e-07
8874,0.49997609028309103,0.49934587,3.971790850882665e-07
8875,0.497513389441469,0.4979225,1.6737955668779415e-07
8876,0.4977046671767406,0.49802035,9.965623401335865e-08
8877,0.4987327850038255,0.498623,1.2049783842704034e-08
8878,0.4993066182096404,0.49893335,1.393328297430418e-07
8879,0.4978003060443764,0.49808168,7.917361724843794e-08
8880,0.49758511859219584,0.49794048,1.2628223411349653e-07
8881,0.49818286151491964,0.4982883,1.111803618734552e-08
8882,0.49796767406273906,0.49817562,4.324194232210827e-08
8883,0.49806331293037487,0.49822593,2.6443450414897065e-08
8884,0.4988523335883703,0.49870074,2.2981236606914067e-08
8885,0.49777639632746745,0.49807388,8.849409850351565e-08
8886,0.4989240627390971,0.49871975,4.174294558635412e-08
8887,0.4990197016067329,0.49880162,4.7560104281898544e-08
8888,0.49777639632746745,0.49807388,8.849409850351565e-08
8889,0.5000717291507268,0.4993712,4.90739970253305e-07
8890,0.4983502295332823,0.49839026,1.602226795744802e-09
8891,0.4988284238714613,0.49866888,2.5454479678804903e-08
8892,0.4998326319816373,0.49925005,3.393966858896781e-07
8893,0.49748947972456004,0.49789366,1.6336271407955262e-07
8894,0.4975372991583779,0.49792817,1.5278185187396773e-07
8895,0.49906752104055085,0.49881276,6.490069978899119e-08
8896,0.49818286151491964,0.4982883,1.111803618734552e-08
8897,0.498493687834736,0.49847972,1.9499062545375497e-10
8898,0.4986371461361897,0.4985653,5.163821982183717e-09
8899,0.4981350420811017,0.49827418,1.9358612713915658e-08
8900,0.49897188217291505,0.4987385,5.446840758152983e-08
8901,0.498493687834736,0.49847972,1.9499062545375497e-10
8902,0.4979198546289212,0.49816155,5.8418748666814665e-08
8903,0.49911534047436873,0.49882972,8.157768184697428e-08
8904,0.4975372991583779,0.49792817,1.5278185187396773e-07
8905,0.4981350420811017,0.49827418,1.9358612713915658e-08
8906,0.4997848125478194,0.4992359,3.0130689943220705e-07
8907,0.4977524866105585,0.4980465,8.643656404019846e-08
8908,0.4979198546289212,0.49816155,5.8418748666814665e-08
8909,0.49935443764345827,0.49897364,1.4500850608646338e-07
8910,0.4987088752869166,0.49860877,1.0021471637220853e-08
8911,0.4980394032134659,0.49820286,2.671823724180891e-08
8912,0.4975612088752869,0.4979384,1.422690305751254e-07
8913,0.4979437643458301,0.4981671,4.9877728353467574e-08
8914,0.4975372991583779,0.49792817,1.5278185187396773e-07
8915,0.49878060443764344,0.49863783,2.0385896245471744e-08
8916,0.4987327850038255,0.498623,1.2049783842704034e-08
8917,0.4975372991583779,0.49792817,1.5278185187396773e-07
8918,0.49868496557000763,0.49857584,1.1909171368466516e-08
8919,0.49708301453710785,0.49764833,3.1957992492921584e-07
8920,0.4986371461361897,0.4985653,5.163821982183717e-09
8921,0.4989240627390971,0.49871975,4.174294558635412e-08
8922,0.49837413925019125,0.4983982,5.79621439363368e-10
8923,0.49227716143840855,0.4948751,6.749301579748507e-06
8924,0.49703519510329,0.49763715,3.6235291430331646e-07
8925,0.49768075745983165,0.4979971,1.0007584311424426e-07
8926,0.4903404743687835,0.4937702,1.1763099773414112e-05
8927,0.49768075745983165,0.4979971,1.0007584311424426e-07
8928,0.496533091048202,0.49735028,6.677904552438774e-07
8929,0.4981350420811017,0.49827418,1.9358612713915658e-08
8930,0.4973460214231063,0.4978257,2.3010301652040167e-07
8931,0.4989479724560061,0.49872938,4.7783542754162686e-08
8932,0.49827850038255544,0.49836138,6.868850005945421e-09
8933,0.49937834736036724,0.49899626,1.459924459102852e-07
8934,0.49866105585309867,0.4985731,7.73718092086536e-09
8935,0.498517597551645,0.49848196,1.2700989122000458e-09
8936,0.49748947972456004,0.49789366,1.6336271407955262e-07
8937,0.49856541698546286,0.49851942,2.1156652881252877e-09
8938,0.5003825554705432,0.49956217,6.730256229923722e-07
8939,0.4971069242540168,0.4976683,3.1513834801322826e-07
8940,0.4978003060443764,0.49808168,7.917361724843794e-08
8941,0.4976090283091048,0.49797818,1.3627344849697123e-07
8942,0.4974177505738332,0.49784485,1.8240969715330888e-07
8943,0.4983263198163733,0.4983777,2.6410106710108785e-09
8944,0.49976090283091046,0.49921036,3.030999785890793e-07
